"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020,Q1,,"312,000 ",,"287,000 ",,"291,000 ",,"224,000 ",,"358,000 ",,,,,,,,,,,,,,,
,,Q2,,"308,000 ",,"277,000 ",,"281,000 ",,"220,000 ",,"350,000 ",,,,,,,,,,,,,,,
,,Q3,,"320,000 ",,"315,000 ",,"316,000 ",,"240,000 ",,"388,000 ",,,,,,,,,,,,,,,
,,Q4,,"326,000 ",,"326,000 ",,"326,000 ",,"245,000 ",,"393,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"336,000 ",,"347,000 ",,"345,000 ",,"257,000 ",,"409,000 ",,,,,,,,,,,,,,,
,,Q2,,"328,000 ",,"345,000 ",,"343,000 ",,"256,000 ",,"416,000 ",,,,,,,,,,,,,,,
,,Q3,,"298,000 ",,"295,000 ",,"295,000 ",,"224,000 ",,"368,000 ",,,,,,,,,,,,,,,
,,Q4,,"312,000 ",,"311,000 ",,"311,000 ",,"233,000 ",,"404,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"330,000 ",,"330,000 ",,"330,000 ",,"247,000 ",,"420,000 ",,,,,,,,,,,,,,,
,,Q2,,"332,000 ",,"336,000 ",,"335,000 ",,"256,000 ",,"425,000 ",,,,,,,,,,,,,,,
,,Q3,,"339,000 ",,"356,000 ",,"354,000 ",,"266,000 ",,"447,000 ",,,,,,,,,,,,,,,
,,Q4,,"334,000 ",,"345,000 ",,"343,000 ",,"263,000 ",,"432,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"332,000 ",,"327,000 ",,"328,000 ",,"253,000 ",,"413,000 ",,,,,,,,,,,,,,,
,,Q2,,"330,000 ",,"326,000 ",,"327,000 ",,"252,000 ",,"410,000 ",,,,,,,,,,,,,,,
,,Q3,,"323,000 ",,"344,000 ",,"342,000 ",,"260,000 ",,"430,000 ",,,,,,,,,,,,,,,
,,Q4,,"318,000 ",,"327,000 ",,"326,000 ",,"250,000 ",,"411,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Great Britain,,,,,,,,,,,,,,,,,,,,,,,,,,,
K03000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"78,000 ",,"61,000 ",,"63,000 ",,"47,000 ",,"78,000 ",,,,,,,,,,,,,,,
,,Q3,,"71,000 ",,"63,000 ",,"64,000 ",,"49,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q4,,"71,000 ",,"58,000 ",,"60,000 ",,"45,000 ",,"78,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"74,000 ",,"59,000 ",,"61,000 ",,"47,000 ",,"79,000 ",,,,,,,,,,,,,,,
,,Q2,,"74,000 ",,"61,000 ",,"62,000 ",,"49,000 ",,"79,000 ",,,,,,,,,,,,,,,
,,Q3,,"74,000 ",,"62,000 ",,"64,000 ",,"48,000 ",,"82,000 ",,,,,,,,,,,,,,,
,,Q4,,"75,000 ",,"61,000 ",,"63,000 ",,"48,000 ",,"80,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"74,000 ",,"61,000 ",,"63,000 ",,"47,000 ",,"83,000 ",,,,,,,,,,,,,,,
,,Q2,,"76,000 ",,"64,000 ",,"65,000 ",,"49,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q3,,"75,000 ",,"65,000 ",,"67,000 ",,"49,000 ",,"87,000 ",,,,,,,,,,,,,,,
,,Q4,,"78,000 ",,"63,000 ",,"66,000 ",,"49,000 ",,"86,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"76,000 ",,"60,000 ",,"63,000 ",,"47,000 ",,"83,000 ",,,,,,,,,,,,,,,
,,Q2,,"79,000 ",,"63,000 ",,"66,000 ",,"47,000 ",,"87,000 ",,,,,,,,,,,,,,,
,,Q3,,"82,000 ",,"66,000 ",,"69,000 ",,"46,000 ",,"91,000 ",,,,,,,,,,,,,,,
,,Q4,,"83,000 ",,"64,000 ",,"67,000 ",,"47,000 ",,"88,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"83,000 ",,"64,000 ",,"67,000 ",,"46,000 ",,"90,000 ",,,,,,,,,,,,,,,
,,Q2,,"84,000 ",,"67,000 ",,"69,000 ",,"49,000 ",,"88,000 ",,,,,,,,,,,,,,,
,,Q3,,"87,000 ",,"72,000 ",,"74,000 ",,"51,000 ",,"94,000 ",,,,,,,,,,,,,,,
,,Q4,,"92,000 ",,"68,000 ",,"70,000 ",,"49,000 ",,"92,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"98,000 ",,"71,000 ",,"73,000 ",,"49,000 ",,"94,000 ",,,,,,,,,,,,,,,
,,Q2,,"94,000 ",,"74,000 ",,"76,000 ",,"51,000 ",,"97,000 ",,,,,,,,,,,,,,,
,,Q3,,"95,000 ",,"77,000 ",,"79,000 ",,"55,000 ",,"99,000 ",,,,,,,,,,,,,,,
,,Q4,,"94,000 ",,"74,000 ",,"77,000 ",,"55,000 ",,"96,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"96,000 ",,"76,000 ",,"78,000 ",,"55,000 ",,"100,000 ",,,,,,,,,,,,,,,
,,Q2,,"99,000 ",,"79,000 ",,"81,000 ",,"61,000 ",,"102,000 ",,,,,,,,,,,,,,,
,,Q3,,"96,000 ",,"84,000 ",,"86,000 ",,"67,000 ",,"104,000 ",,,,,,,,,,,,,,,
,,Q4,,"103,000 ",,"80,000 ",,"83,000 ",,"64,000 ",,"101,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"109,000 ",,"82,000 ",,"85,000 ",,"66,000 ",,"103,000 ",,,,,,,,,,,,,,,
,,Q2,,"114,000 ",,"87,000 ",,"90,000 ",,"72,000 ",,"107,000 ",,,,,,,,,,,,,,,
,,Q3,,"116,000 ",,"96,000 ",,"98,000 ",,"75,000 ",,"117,000 ",,,,,,,,,,,,,,,
,,Q4,,"119,000 ",,"95,000 ",,"97,000 ",,"75,000 ",,"117,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"124,000 ",,"95,000 ",,"98,000 ",,"75,000 ",,"119,000 ",,,,,,,,,,,,,,,
,,Q2,,"123,000 ",,"100,000 ",,"103,000 ",,"78,000 ",,"122,000 ",,,,,,,,,,,,,,,
,,Q3,,"125,000 ",,"101,000 ",,"103,000 ",,"76,000 ",,"124,000 ",,,,,,,,,,,,,,,
,,Q4,,"128,000 ",,"102,000 ",,"105,000 ",,"77,000 ",,"125,000 ",,,,,,,,,,,,,,,
,2001,Q1,,"133,000 ",,"105,000 ",,"108,000 ",,"80,000 ",,"129,000 ",,,,,,,,,,,,,,,
,,Q2,,"131,000 ",,"111,000 ",,"113,000 ",,"84,000 ",,"134,000 ",,,,,,,,,,,,,,,
,,Q3,,"139,000 ",,"115,000 ",,"118,000 ",,"88,000 ",,"139,000 ",,,,,,,,,,,,,,,
,,Q4,,"137,000 ",,"111,000 ",,"114,000 ",,"89,000 ",,"128,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"147,000 ",,"111,000 ",,"114,000 ",,"92,000 ",,"125,000 ",,,,,,,,,,,,,,,
,,Q2,,"157,000 ",,"123,000 ",,"127,000 ",,"101,000 ",,"137,000 ",,,,,,,,,,,,,,,
,,Q3,,"166,000 ",,"133,000 ",,"137,000 ",,"112,000 ",,"148,000 ",,,,,,,,,,,,,,,
,,Q4,,"167,000 ",,"132,000 ",,"135,000 ",,"112,000 ",,"145,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"167,000 ",,"133,000 ",,"135,000 ",,"106,000 ",,"144,000 ",,,,,,,,,,,,,,,
,,Q2,,"183,000 ",,"140,000 ",,"143,000 ",,"110,000 ",,"154,000 ",,,,,,,,,,,,,,,
,,Q3,,"201,000 ",,"162,000 ",,"164,000 ",,"116,000 ",,"173,000 ",,,,,,,,,,,,,,,
,,Q4,,"203,000 ",,"166,000 ",,"168,000 ",,"120,000 ",,"178,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"210,000 ",,"168,000 ",,"171,000 ",,"123,000 ",,"182,000 ",,,,,,,,,,,,,,,
,,Q2,,"212,000 ",,"175,000 ",,"179,000 ",,"132,000 ",,"188,000 ",,,,,,,,,,,,,,,
,,Q3,,"220,000 ",,"187,000 ",,"191,000 ",,"139,000 ",,"202,000 ",,,,,,,,,,,,,,,
,,Q4,,"210,000 ",,"184,000 ",,"188,000 ",,"140,000 ",,"200,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"217,000 ",,"184,000 ",,"187,000 ",,"140,000 ",,"200,000 ",,,,,,,,,,,,,,,
,,Q2,,"216,000 ",,"189,000 ",,"192,000 ",,"146,000 ",,"203,000 ",,,,,,,,,,,,,,,
,,Q3,,"218,000 ",,"198,000 ",,"201,000 ",,"148,000 ",,"219,000 ",,,,,,,,,,,,,,,
,,Q4,,"218,000 ",,"189,000 ",,"190,000 ",,"136,000 ",,"225,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"225,000 ",,"193,000 ",,"194,000 ",,"138,000 ",,"230,000 ",,,,,,,,,,,,,,,
,,Q2,,"225,000 ",,"199,000 ",,"200,000 ",,"144,000 ",,"233,000 ",,,,,,,,,,,,,,,
,,Q3,,"221,000 ",,"214,000 ",,"215,000 ",,"152,000 ",,"250,000 ",,,,,,,,,,,,,,,
,,Q4,,"222,000 ",,"212,000 ",,"213,000 ",,"151,000 ",,"246,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"220,000 ",,"217,000 ",,"218,000 ",,"154,000 ",,"254,000 ",,,,,,,,,,,,,,,
,,Q2,,"224,000 ",,"218,000 ",,"219,000 ",,"159,000 ",,"252,000 ",,,,,,,,,,,,,,,
,,Q3,,"222,000 ",,"232,000 ",,"232,000 ",,"164,000 ",,"268,000 ",,,,,,,,,,,,,,,
,,Q4,,"225,000 ",,"225,000 ",,"225,000 ",,"161,000 ",,"261,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"225,000 ",,"227,000 ",,"227,000 ",,"161,000 ",,"265,000 ",,,,,,,,,,,,,,,
,,Q2,,"231,000 ",,"228,000 ",,"228,000 ",,"166,000 ",,"262,000 ",,,,,,,,,,,,,,,
,,Q3,,"222,000 ",,"235,000 ",,"234,000 ",,"168,000 ",,"269,000 ",,,,,,,,,,,,,,,
,,Q4,,"202,000 ",,"224,000 ",,"222,000 ",,"158,000 ",,"258,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"191,000 ",,"219,000 ",,"217,000 ",,"155,000 ",,"256,000 ",,,,,,,,,,,,,,,
,,Q2,,"192,000 ",,"218,000 ",,"216,000 ",,"158,000 ",,"250,000 ",,,,,,,,,,,,,,,
,,Q3,,"203,000 ",,"239,000 ",,"237,000 ",,"173,000 ",,"271,000 ",,,,,,,,,,,,,,,
,,Q4,,"208,000 ",,"237,000 ",,"236,000 ",,"177,000 ",,"265,000 ",,,,,,,,,,,,,,,
