"Table 11 Housing market: simple average house prices, by new/other dwellings, type of buyer and  region, United Kingdom, from 1992 (quarterly) 1, 2, 3 (previously DCLG table 504)",,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,New dwellings,,Other dwellings4,,All dwellings,,First time buyers,,Former owner occupiers,,,,,,,,,,,,,,,
,,,,Price,,Price,,Price,,Price,,Price,,,,,,,,,,,,,,,
,,,,£,,£,,£,,£,,£,,,,,,,,,,,,,,,
United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,
K02000001,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"203,000 ",,"170,000 ",,"172,000 ",,"123,000 ",,"203,000 ",,,,,,,,,,,,,,,
,,Q3,,"199,000 ",,"183,000 ",,"184,000 ",,"127,000 ",,"218,000 ",,,,,,,,,,,,,,,
,,Q4,,"199,000 ",,"186,000 ",,"186,000 ",,"127,000 ",,"221,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"197,000 ",,"179,000 ",,"180,000 ",,"128,000 ",,"213,000 ",,,,,,,,,,,,,,,
,,Q2,,"197,000 ",,"181,000 ",,"182,000 ",,"129,000 ",,"214,000 ",,,,,,,,,,,,,,,
,,Q3,,"191,000 ",,"190,000 ",,"190,000 ",,"131,000 ",,"224,000 ",,,,,,,,,,,,,,,
,,Q4,,"203,000 ",,"187,000 ",,"188,000 ",,"131,000 ",,"222,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"198,000 ",,"182,000 ",,"183,000 ",,"131,000 ",,"214,000 ",,,,,,,,,,,,,,,
,,Q2,,"198,000 ",,"183,000 ",,"184,000 ",,"134,000 ",,"215,000 ",,,,,,,,,,,,,,,
,,Q3,,"190,000 ",,"190,000 ",,"190,000 ",,"136,000 ",,"222,000 ",,,,,,,,,,,,,,,
,,Q4,,"172,000 ",,"185,000 ",,"184,000 ",,"130,000 ",,"215,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"177,000 ",,"179,000 ",,"179,000 ",,"128,000 ",,"210,000 ",,,,,,,,,,,,,,,
,,Q2,,"179,000 ",,"178,000 ",,"179,000 ",,"129,000 ",,"209,000 ",,,,,,,,,,,,,,,
,,Q3,,"189,000 ",,"194,000 ",,"194,000 ",,"137,000 ",,"225,000 ",,,,,,,,,,,,,,,
,,Q4,,"180,000 ",,"189,000 ",,"189,000 ",,"138,000 ",,"215,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"177,000 ",,"202,000 ",,"201,000 ",,"137,000 ",,"231,000 ",,,,,,,,,,,,,,,
,,Q2,,"196,000 ",,"201,000 ",,"201,000 ",,"141,000 ",,"229,000 ",,,,,,,,,,,,,,,
,,Q3,,"181,000 ",,"207,000 ",,"206,000 ",,"139,000 ",,"238,000 ",,,,,,,,,,,,,,,
,,Q4,,"195,000 ",,"199,000 ",,"198,000 ",,"136,000 ",,"230,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"169,000 ",,"184,000 ",,"182,000 ",,"129,000 ",,"213,000 ",,,,,,,,,,,,,,,
,,Q2,,"190,000 ",,"188,000 ",,"188,000 ",,"133,000 ",,"218,000 ",,,,,,,,,,,,,,,
,,Q3,,"200,000 ",,"194,000 ",,"194,000 ",,"136,000 ",,"225,000 ",,,,,,,,,,,,,,,
,,Q4,,"214,000 ",,"190,000 ",,"193,000 ",,"136,000 ",,"221,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"188,000 ",,"185,000 ",,"185,000 ",,"135,000 ",,"214,000 ",,,,,,,,,,,,,,,
,,Q2,,"198,000 ",,"185,000 ",,"187,000 ",,"132,000 ",,"218,000 ",,,,,,,,,,,,,,,
,,Q3,,"204,000 ",,"188,000 ",,"190,000 ",,"134,000 ",,"224,000 ",,,,,,,,,,,,,,,
,,Q4,,"200,000 ",,"190,000 ",,"191,000 ",,"137,000 ",,"224,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"191,000 ",,"185,000 ",,"186,000 ",,"132,000 ",,"225,000 ",,,,,,,,,,,,,,,
,,Q2,,"200,000 ",,"182,000 ",,"184,000 ",,"137,000 ",,"221,000 ",,,,,,,,,,,,,,,
,,Q3,,"191,000 ",,"194,000 ",,"194,000 ",,"139,000 ",,"232,000 ",,,,,,,,,,,,,,,
,,Q4,,"196,000 ",,"197,000 ",,"197,000 ",,"142,000 ",,"235,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"188,000 ",,"194,000 ",,"194,000 ",,"138,000 ",,"234,000 ",,,,,,,,,,,,,,,
,,Q2,,"206,000 ",,"201,000 ",,"201,000 ",,"144,000 ",,"241,000 ",,,,,,,,,,,,,,,
,,Q3,,"212,000 ",,"207,000 ",,"207,000 ",,"150,000 ",,"247,000 ",,,,,,,,,,,,,,,
,,Q4,,"217,000 ",,"206,000 ",,"207,000 ",,"151,000 ",,"249,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"215,000 ",,"202,000 ",,"204,000 ",,"149,000 ",,"246,000 ",,,,,,,,,,,,,,,
,,Q2,,"229,000 ",,"202,000 ",,"206,000 ",,"152,000 ",,"250,000 ",,,,,,,,,,,,,,,
,,Q3,,"236,000 ",,"218,000 ",,"220,000 ",,"157,000 ",,"267,000 ",,,,,,,,,,,,,,,
,,Q4,,"233,000 ",,"214,000 ",,"216,000 ",,"157,000 ",,"263,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"222,000 ",,"213,000 ",,"214,000 ",,"155,000 ",,"263,000 ",,,,,,,,,,,,,,,
,,Q2,,"247,000 ",,"205,000 ",,"209,000 ",,"160,000 ",,"260,000 ",,,,,,,,,,,,,,,
,,Q3,,"251,000 ",,"224,000 ",,"226,000 ",,"167,000 ",,"279,000 ",,,,,,,,,,,,,,,
,,Q4,,"261,000 ",,"224,000 ",,"228,000 ",,"168,000 ",,"281,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"245,000 ",,"210,000 ",,"215,000 ",,"162,000 ",,"271,000 ",,,,,,,,,,,,,,,
,,Q2,,"262,000 ",,"214,000 ",,"222,000 ",,"168,000 ",,"275,000 ",,,,,,,,,,,,,,,
,,Q3,,"261,000 ",,"224,000 ",,"228,000 ",,"170,000 ",,"283,000 ",,,,,,,,,,,,,,,
,,Q4,,"272,000 ",,"220,000 ",,"227,000 ",,"170,000 ",,"283,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"259,000 ",,"216,000 ",,"222,000 ",,"168,000 ",,"279,000 ",,,,,,,,,,,,,,,
,,Q2,,"278,000 ",,"222,000 ",,"232,000 ",,"177,000 ",,"290,000 ",,,,,,,,,,,,,,,
,,Q3,,"270,000 ",,"229,000 ",,"234,000 ",,"178,000 ",,"291,000 ",,,,,,,,,,,,,,,
,,Q4,,"271,000 ",,"228,000 ",,"235,000 ",,"179,000 ",,"291,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"271,000 ",,"216,000 ",,"224,000 ",,"176,000 ",,"278,000 ",,,,,,,,,,,,,,,
,,Q2,,"281,000 ",,"220,000 ",,"231,000 ",,"180,000 ",,"287,000 ",,,,,,,,,,,,,,,
,,Q3,,"279,000 ",,"227,000 ",,"233,000 ",,"176,000 ",,"294,000 ",,,,,,,,,,,,,,,
,,Q4,,"287,000 ",,"227,000 ",,"238,000 ",,"182,000 ",,"296,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"280,000 ",,"226,000 ",,"233,000 ",,"177,000 ",,"293,000 ",,,,,,,,,,,,,,,
,,Q2,,"273,000 ",,"222,000 ",,"228,000 ",,"177,000 ",,"289,000 ",,,,,,,,,,,,,,,
,,Q3,,"283,000 ",,"248,000 ",,"254,000 ",,"192,000 ",,"315,000 ",,,,,,,,,,,,,,,
,,Q4,,"295,000 ",,"268,000 ",,"273,000 ",,"201,000 ",,"335,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"301,000 ",,"282,000 ",,"285,000 ",,"202,000 ",,"344,000 ",,,,,,,,,,,,,,,
,,Q2,,"288,000 ",,"276,000 ",,"277,000 ",,"201,000 ",,"342,000 ",,,,,,,,,,,,,,,
,,Q3,,"264,000 ",,"242,000 ",,"245,000 ",,"192,000 ",,"304,000 ",,,,,,,,,,,,,,,
,,Q4,,"276,000 ",,"253,000 ",,"257,000 ",,"198,000 ",,"338,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"286,000 ",,"261,000 ",,"264,000 ",,"199,000 ",,"341,000 ",,,,,,,,,,,,,,,
,,Q2,,"290,000 ",,"270,000 ",,"273,000 ",,"210,000 ",,"351,000 ",,,,,,,,,,,,,,,
,,Q3,,"297,000 ",,"285,000 ",,"286,000 ",,"216,000 ",,"365,000 ",,,,,,,,,,,,,,,
,,Q4,,"297,000 ",,"282,000 ",,"285,000 ",,"217,000 ",,"363,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"295,000 ",,"268,000 ",,"272,000 ",,"208,000 ",,"351,000 ",,,,,,,,,,,,,,,
,,Q2,,"312,000 ",,"272,000 ",,"278,000 ",,"217,000 ",,"352,000 ",,,,,,,,,,,,,,,
,,Q3,,"306,000 ",,"277,000 ",,"281,000 ",,"220,000 ",,"351,000 ",,,,,,,,,,,,,,,
,,Q4,,"295,000 ",,"271,000 ",,"275,000 ",,"217,000 ",,"348,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
East of England,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000006,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"76,000 ",,"63,000 ",,"65,000 ",,"49,000 ",,"82,000 ",,,,,,,,,,,,,,,
,,Q3,,"67,000 ",,"65,000 ",,"67,000 ",,"51,000 ",,"83,000 ",,,,,,,,,,,,,,,
,,Q4,,"66,000 ",,"61,000 ",,"63,000 ",,"45,000 ",,"84,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"75,000 ",,"63,000 ",,"64,000 ",,"49,000 ",,"80,000 ",,,,,,,,,,,,,,,
,,Q2,,"72,000 ",,"65,000 ",,"66,000 ",,"49,000 ",,"87,000 ",,,,,,,,,,,,,,,
,,Q3,,"70,000 ",,"68,000 ",,"70,000 ",,"51,000 ",,"90,000 ",,,,,,,,,,,,,,,
,,Q4,,"75,000 ",,"64,000 ",,"66,000 ",,"50,000 ",,"82,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"78,000 ",,"66,000 ",,"68,000 ",,"50,000 ",,"88,000 ",,,,,,,,,,,,,,,
,,Q2,,"82,000 ",,"66,000 ",,"68,000 ",,"50,000 ",,"88,000 ",,,,,,,,,,,,,,,
,,Q3,,"73,000 ",,"69,000 ",,"71,000 ",,"50,000 ",,"94,000 ",,,,,,,,,,,,,,,
,,Q4,,"82,000 ",,"68,000 ",,"70,000 ",,"52,000 ",,"90,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"74,000 ",,"65,000 ",,"67,000 ",,"47,000 ",,"89,000 ",,,,,,,,,,,,,,,
,,Q2,,"84,000 ",,"66,000 ",,"68,000 ",,"49,000 ",,"91,000 ",,,,,,,,,,,,,,,
,,Q3,,"80,000 ",,"68,000 ",,"69,000 ",,"49,000 ",,"90,000 ",,,,,,,,,,,,,,,
,,Q4,,"90,000 ",,"71,000 ",,"74,000 ",,"52,000 ",,"95,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"83,000 ",,"66,000 ",,"68,000 ",,"47,000 ",,"92,000 ",,,,,,,,,,,,,,,
,,Q2,,"85,000 ",,"68,000 ",,"70,000 ",,"52,000 ",,"85,000 ",,,,,,,,,,,,,,,
,,Q3,,"91,000 ",,"77,000 ",,"79,000 ",,"53,000 ",,"99,000 ",,,,,,,,,,,,,,,
,,Q4,,"92,000 ",,"70,000 ",,"72,000 ",,"51,000 ",,"91,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"101,000 ",,"72,000 ",,"75,000 ",,"53,000 ",,"91,000 ",,,,,,,,,,,,,,,
,,Q2,,"97,000 ",,"80,000 ",,"82,000 ",,"55,000 ",,"101,000 ",,,,,,,,,,,,,,,
,,Q3,,"109,000 ",,"81,000 ",,"85,000 ",,"60,000 ",,"103,000 ",,,,,,,,,,,,,,,
,,Q4,,"104,000 ",,"77,000 ",,"80,000 ",,"58,000 ",,"99,000 ",,,,,,,,,,,,,,,
,1998,Q1,,"107,000 ",,"76,000 ",,"81,000 ",,"57,000 ",,"101,000 ",,,,,,,,,,,,,,,
,,Q2,,"111,000 ",,"85,000 ",,"88,000 ",,"66,000 ",,"108,000 ",,,,,,,,,,,,,,,
,,Q3,,"113,000 ",,"89,000 ",,"92,000 ",,"67,000 ",,"109,000 ",,,,,,,,,,,,,,,
,,Q4,,"114,000 ",,"90,000 ",,"94,000 ",,"72,000 ",,"110,000 ",,,,,,,,,,,,,,,
,1999,Q1,,"120,000 ",,"86,000 ",,"91,000 ",,"69,000 ",,"109,000 ",,,,,,,,,,,,,,,
,,Q2,,"123,000 ",,"90,000 ",,"94,000 ",,"71,000 ",,"113,000 ",,,,,,,,,,,,,,,
,,Q3,,"116,000 ",,"93,000 ",,"95,000 ",,"74,000 ",,"111,000 ",,,,,,,,,,,,,,,
,,Q4,,"133,000 ",,"102,000 ",,"106,000 ",,"81,000 ",,"124,000 ",,,,,,,,,,,,,,,
,2000,Q1,,"141,000 ",,"102,000 ",,"106,000 ",,"79,000 ",,"128,000 ",,,,,,,,,,,,,,,
,,Q2,,"129,000 ",,"106,000 ",,"108,000 ",,"82,000 ",,"129,000 ",,,,,,,,,,,,,,,
,,Q3,,"160,000 ",,"110,000 ",,"114,000 ",,"85,000 ",,"134,000 ",,,,,,,,,,,,,,,
,,Q4,,"142,000 ",,"115,000 ",,"119,000 ",,"90,000 ",,"139,000 ",,,,,,,,,,,,,,,
,2001,Q1,,"180,000 ",,"121,000 ",,"126,000 ",,"91,000 ",,"147,000 ",,,,,,,,,,,,,,,
,,Q2,,"144,000 ",,"122,000 ",,"124,000 ",,"90,000 ",,"144,000 ",,,,,,,,,,,,,,,
,,Q3,,"161,000 ",,"125,000 ",,"130,000 ",,"99,000 ",,"148,000 ",,,,,,,,,,,,,,,
,,Q4,,"166,000 ",,"127,000 ",,"131,000 ",,"99,000 ",,"151,000 ",,,,,,,,,,,,,,,
,2002,Q1,,"201,000 ",,"138,000 ",,"141,000 ",,"111,000 ",,"162,000 ",,,,,,,,,,,,,,,
,,Q2,,"185,000 ",,"144,000 ",,"148,000 ",,"115,000 ",,"162,000 ",,,,,,,,,,,,,,,
,,Q3,,"190,000 ",,"150,000 ",,"154,000 ",,"124,000 ",,"168,000 ",,,,,,,,,,,,,,,
,,Q4,,"192,000 ",,"156,000 ",,"160,000 ",,"133,000 ",,"173,000 ",,,,,,,,,,,,,,,
,2003,Q1,,"196,000 ",,"161,000 ",,"165,000 ",,"124,000 ",,"179,000 ",,,,,,,,,,,,,,,
,,Q2,,"227,000 ",,"173,000 ",,"177,000 ",,"141,000 ",,"189,000 ",,,,,,,,,,,,,,,
,,Q3,,"236,000 ",,"187,000 ",,"189,000 ",,"135,000 ",,"201,000 ",,,,,,,,,,,,,,,
,,Q4,,"234,000 ",,"189,000 ",,"191,000 ",,"136,000 ",,"202,000 ",,,,,,,,,,,,,,,
,2004,Q1,,"241,000 ",,"188,000 ",,"191,000 ",,"139,000 ",,"203,000 ",,,,,,,,,,,,,,,
,,Q2,,"239,000 ",,"195,000 ",,"199,000 ",,"144,000 ",,"211,000 ",,,,,,,,,,,,,,,
,,Q3,,"247,000 ",,"207,000 ",,"212,000 ",,"150,000 ",,"224,000 ",,,,,,,,,,,,,,,
,,Q4,,"228,000 ",,"207,000 ",,"210,000 ",,"153,000 ",,"223,000 ",,,,,,,,,,,,,,,
,2005,Q1,,"241,000 ",,"206,000 ",,"209,000 ",,"154,000 ",,"223,000 ",,,,,,,,,,,,,,,
,,Q2,,"237,000 ",,"207,000 ",,"210,000 ",,"158,000 ",,"222,000 ",,,,,,,,,,,,,,,
,,Q3,,"244,000 ",,"218,000 ",,"220,000 ",,"161,000 ",,"236,000 ",,,,,,,,,,,,,,,
,,Q4,,"240,000 ",,"207,000 ",,"208,000 ",,"149,000 ",,"238,000 ",,,,,,,,,,,,,,,
,2006,Q1,,"251,000 ",,"208,000 ",,"209,000 ",,"148,000 ",,"239,000 ",,,,,,,,,,,,,,,
,,Q2,,"255,000 ",,"214,000 ",,"216,000 ",,"154,000 ",,"245,000 ",,,,,,,,,,,,,,,
,,Q3,,"251,000 ",,"230,000 ",,"231,000 ",,"162,000 ",,"263,000 ",,,,,,,,,,,,,,,
,,Q4,,"240,000 ",,"227,000 ",,"228,000 ",,"162,000 ",,"257,000 ",,,,,,,,,,,,,,,
,2007,Q1,,"231,000 ",,"232,000 ",,"232,000 ",,"164,000 ",,"263,000 ",,,,,,,,,,,,,,,
,,Q2,,"234,000 ",,"230,000 ",,"231,000 ",,"167,000 ",,"261,000 ",,,,,,,,,,,,,,,
,,Q3,,"239,000 ",,"247,000 ",,"247,000 ",,"174,000 ",,"279,000 ",,,,,,,,,,,,,,,
,,Q4,,"238,000 ",,"243,000 ",,"243,000 ",,"172,000 ",,"273,000 ",,,,,,,,,,,,,,,
,2008,Q1,,"228,000 ",,"245,000 ",,"244,000 ",,"170,000 ",,"280,000 ",,,,,,,,,,,,,,,
,,Q2,,"233,000 ",,"247,000 ",,"246,000 ",,"177,000 ",,"278,000 ",,,,,,,,,,,,,,,
,,Q3,,"224,000 ",,"253,000 ",,"251,000 ",,"177,000 ",,"284,000 ",,,,,,,,,,,,,,,
,,Q4,,"206,000 ",,"239,000 ",,"237,000 ",,"166,000 ",,"271,000 ",,,,,,,,,,,,,,,
,2009,Q1,,"216,000 ",,"229,000 ",,"228,000 ",,"161,000 ",,"264,000 ",,,,,,,,,,,,,,,
,,Q2,,"202,000 ",,"227,000 ",,"225,000 ",,"158,000 ",,"258,000 ",,,,,,,,,,,,,,,
,,Q3,,"214,000 ",,"242,000 ",,"241,000 ",,"170,000 ",,"273,000 ",,,,,,,,,,,,,,,
,,Q4,,"214,000 ",,"242,000 ",,"240,000 ",,"171,000 ",,"270,000 ",,,,,,,,,,,,,,,
,2010,Q1,,"219,000 ",,"264,000 ",,"261,000 ",,"180,000 ",,"292,000 ",,,,,,,,,,,,,,,
,,Q2,,"214,000 ",,"262,000 ",,"259,000 ",,"183,000 ",,"290,000 ",,,,,,,,,,,,,,,
,,Q3,,"237,000 ",,"271,000 ",,"269,000 ",,"190,000 ",,"301,000 ",,,,,,,,,,,,,,,
,,Q4,,"246,000 ",,"259,000 ",,"256,000 ",,"179,000 ",,"289,000 ",,,,,,,,,,,,,,,
,2011,Q1,,"238,000 ",,"257,000 ",,"254,000 ",,"178,000 ",,"290,000 ",,,,,,,,,,,,,,,
,,Q2,,"246,000 ",,"255,000 ",,"253,000 ",,"177,000 ",,"287,000 ",,,,,,,,,,,,,,,
,,Q3,,"247,000 ",,"263,000 ",,"262,000 ",,"181,000 ",,"295,000 ",,,,,,,,,,,,,,,
,,Q4,,"262,000 ",,"254,000 ",,"254,000 ",,"180,000 ",,"285,000 ",,,,,,,,,,,,,,,
,2012,Q1,,"237,000 ",,"248,000 ",,"247,000 ",,"179,000 ",,"282,000 ",,,,,,,,,,,,,,,
,,Q2,,"262,000 ",,"256,000 ",,"256,000 ",,"184,000 ",,"285,000 ",,,,,,,,,,,,,,,
,,Q3,,"263,000 ",,"265,000 ",,"264,000 ",,"187,000 ",,"301,000 ",,,,,,,,,,,,,,,
,,Q4,,"252,000 ",,"255,000 ",,"254,000 ",,"179,000 ",,"292,000 ",,,,,,,,,,,,,,,
,2013,Q1,,"274,000 ",,"251,000 ",,"253,000 ",,"180,000 ",,"294,000 ",,,,,,,,,,,,,,,
,,Q2,,"275,000 ",,"250,000 ",,"252,000 ",,"183,000 ",,"295,000 ",,,,,,,,,,,,,,,
,,Q3,,"281,000 ",,"263,000 ",,"263,000 ",,"191,000 ",,"301,000 ",,,,,,,,,,,,,,,
,,Q4,,"277,000 ",,"264,000 ",,"265,000 ",,"192,000 ",,"306,000 ",,,,,,,,,,,,,,,
,2014,Q1,,"290,000 ",,"267,000 ",,"267,000 ",,"193,000 ",,"309,000 ",,,,,,,,,,,,,,,
,,Q2,,"303,000 ",,"276,000 ",,"277,000 ",,"202,000 ",,"320,000 ",,,,,,,,,,,,,,,
,,Q3,,"314,000 ",,"289,000 ",,"290,000 ",,"209,000 ",,"335,000 ",,,,,,,,,,,,,,,
,,Q4,,"303,000 ",,"285,000 ",,"285,000 ",,"210,000 ",,"334,000 ",,,,,,,,,,,,,,,
,2015,Q1,,"298,000 ",,"294,000 ",,"295,000 ",,"212,000 ",,"348,000 ",,,,,,,,,,,,,,,
,,Q2,,"317,000 ",,"292,000 ",,"295,000 ",,"220,000 ",,"348,000 ",,,,,,,,,,,,,,,
,,Q3,,"318,000 ",,"316,000 ",,"317,000 ",,"227,000 ",,"370,000 ",,,,,,,,,,,,,,,
,,Q4,,"323,000 ",,"317,000 ",,"317,000 ",,"227,000 ",,"376,000 ",,,,,,,,,,,,,,,
,2016,Q1,,"335,000 ",,"330,000 ",,"330,000 ",,"229,000 ",,"393,000 ",,,,,,,,,,,,,,,
,,Q2,,"323,000 ",,"308,000 ",,"310,000 ",,"234,000 ",,"380,000 ",,,,,,,,,,,,,,,
,,Q3,,"341,000 ",,"332,000 ",,"332,000 ",,"241,000 ",,"405,000 ",,,,,,,,,,,,,,,
,,Q4,,"342,000 ",,"332,000 ",,"333,000 ",,"240,000 ",,"406,000 ",,,,,,,,,,,,,,,
,2017,Q1,,"317,000 ",,"327,000 ",,"326,000 ",,"241,000 ",,"391,000 ",,,,,,,,,,,,,,,
,,Q2,,"350,000 ",,"331,000 ",,"334,000 ",,"250,000 ",,"400,000 ",,,,,,,,,,,,,,,
,,Q3,,"346,000 ",,"343,000 ",,"343,000 ",,"253,000 ",,"411,000 ",,,,,,,,,,,,,,,
,,Q4,,"359,000 ",,"332,000 ",,"337,000 ",,"252,000 ",,"403,000 ",,,,,,,,,,,,,,,
,2018,Q1,,"352,000 ",,"335,000 ",,"338,000 ",,"252,000 ",,"405,000 ",,,,,,,,,,,,,,,
,,Q2,,"350,000 ",,"332,000 ",,"336,000 ",,"258,000 ",,"402,000 ",,,,,,,,,,,,,,,
,,Q3,,"357,000 ",,"341,000 ",,"343,000 ",,"261,000 ",,"411,000 ",,,,,,,,,,,,,,,
,,Q4,,"350,000 ",,"333,000 ",,"337,000 ",,"256,000 ",,"404,000 ",,,,,,,,,,,,,,,
,2019,Q1,,"344,000 ",,"328,000 ",,"331,000 ",,"253,000 ",,"400,000 ",,,,,,,,,,,,,,,
,,Q2,,"352,000 ",,"332,000 ",,"336,000 ",,"259,000 ",,"403,000 ",,,,,,,,,,,,,,,
,,Q3,,"350,000 ",,"342,000 ",,"343,000 ",,"262,000 ",,"413,000 ",,,,,,,,,,,,,,,
,,Q4,,"357,000 ",,"343,000 ",,"346,000 ",,"264,000 ",,"415,000 ",,,,,,,,,,,,,,,
,2020,Q1,,"350,000 ",,"340,000 ",,"342,000 ",,"262,000 ",,"409,000 ",,,,,,,,,,,,,,,
,,Q2,,"333,000 ",,"328,000 ",,"329,000 ",,"254,000 ",,"399,000 ",,,,,,,,,,,,,,,
,,Q3,,"356,000 ",,"372,000 ",,"369,000 ",,"278,000 ",,"445,000 ",,,,,,,,,,,,,,,
,,Q4,,"364,000 ",,"391,000 ",,"386,000 ",,"289,000 ",,"455,000 ",,,,,,,,,,,,,,,
,2021,Q1,,"378,000 ",,"398,000 ",,"395,000 ",,"292,000 ",,"456,000 ",,,,,,,,,,,,,,,
,,Q2,,"383,000 ",,"394,000 ",,"392,000 ",,"286,000 ",,"465,000 ",,,,,,,,,,,,,,,
,,Q3,,"343,000 ",,"349,000 ",,"348,000 ",,"266,000 ",,"424,000 ",,,,,,,,,,,,,,,
,,Q4,,"363,000 ",,"380,000 ",,"376,000 ",,"278,000 ",,"481,000 ",,,,,,,,,,,,,,,
,2022,Q1,,"373,000 ",,"389,000 ",,"386,000 ",,"284,000 ",,"484,000 ",,,,,,,,,,,,,,,
,,Q2,,"381,000 ",,"397,000 ",,"393,000 ",,"297,000 ",,"489,000 ",,,,,,,,,,,,,,,
,,Q3,,"390,000 ",,"414,000 ",,"410,000 ",,"307,000 ",,"502,000 ",,,,,,,,,,,,,,,
,,Q4,,"380,000 ",,"410,000 ",,"403,000 ",,"307,000 ",,"497,000 ",,,,,,,,,,,,,,,
,2023,Q1,,"382,000 ",,"389,000 ",,"388,000 ",,"296,000 ",,"480,000 ",,,,,,,,,,,,,,,
,,Q2,,"376,000 ",,"388,000 ",,"386,000 ",,"291,000 ",,"478,000 ",,,,,,,,,,,,,,,
,,Q3,,"365,000 ",,"403,000 ",,"397,000 ",,"300,000 ",,"490,000 ",,,,,,,,,,,,,,,
,,Q4,,"366,000 ",,"384,000 ",,"381,000 ",,"290,000 ",,"473,000 ",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
London,,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000007,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1992,Q1,,,,,,,,,,,,,,,,,,,,,,,,,
,,Q2,,"76,000 ",,"80,000 ",,"80,000 ",,"65,000 ",,"100,000 ",,,,,,,,,,,,,,,
,,Q3,,"67,000 ",,"80,000 ",,"80,000 ",,"65,000 ",,"105,000 ",,,,,,,,,,,,,,,
,,Q4,,"73,000 ",,"76,000 ",,"76,000 ",,"63,000 ",,"104,000 ",,,,,,,,,,,,,,,
,1993,Q1,,"73,000 ",,"79,000 ",,"79,000 ",,"63,000 ",,"112,000 ",,,,,,,,,,,,,,,
,,Q2,,"79,000 ",,"82,000 ",,"81,000 ",,"67,000 ",,"110,000 ",,,,,,,,,,,,,,,
,,Q3,,"85,000 ",,"82,000 ",,"83,000 ",,"66,000 ",,"111,000 ",,,,,,,,,,,,,,,
,,Q4,,"75,000 ",,"80,000 ",,"81,000 ",,"65,000 ",,"109,000 ",,,,,,,,,,,,,,,
,1994,Q1,,"72,000 ",,"79,000 ",,"80,000 ",,"63,000 ",,"113,000 ",,,,,,,,,,,,,,,
,,Q2,,"75,000 ",,"89,000 ",,"90,000 ",,"71,000 ",,"120,000 ",,,,,,,,,,,,,,,
,,Q3,,"74,000 ",,"93,000 ",,"93,000 ",,"71,000 ",,"126,000 ",,,,,,,,,,,,,,,
,,Q4,,"79,000 ",,"87,000 ",,"87,000 ",,"71,000 ",,"118,000 ",,,,,,,,,,,,,,,
,1995,Q1,,"93,000 ",,"86,000 ",,"88,000 ",,"71,000 ",,"117,000 ",,,,,,,,,,,,,,,
,,Q2,,"82,000 ",,"87,000 ",,"88,000 ",,"66,000 ",,"119,000 ",,,,,,,,,,,,,,,
,,Q3,,"81,000 ",,"91,000 ",,"92,000 ",,"63,000 ",,"126,000 ",,,,,,,,,,,,,,,
,,Q4,,"80,000 ",,"90,000 ",,"90,000 ",,"63,000 ",,"125,000 ",,,,,,,,,,,,,,,
,1996,Q1,,"85,000 ",,"89,000 ",,"90,000 ",,"64,000 ",,"120,000 ",,,,,,,,,,,,,,,
,,Q2,,"105,000 ",,"87,000 ",,"89,000 ",,"65,000 ",,"116,000 ",,,,,,,,,,,,,,,
,,Q3,,"95,000 ",,"97,000 ",,"96,000 ",,"69,000 ",,"124,000 ",,,,,,,,,,,,,,,
,,Q4,,"112,000 ",,"100,000 ",,"100,000 ",,"70,000 ",,"131,000 ",,,,,,,,,,,,,,,
,1997,Q1,,"138,000 ",,"100,000 ",,"102,000 ",,"69,000 ",,"130,000 ",,,,,,,,,,,,,,,
